code,date,close,high,low,max_price,rsi,rsi_var,trade_type,now_buy_sell,pre_middle_date,mid_step,common_buy_boll_days,common_sell_boll_days,sp_boll_days,principal,stock_num,add_flag,add_principal,delay_buy,low_rsi,win_stop
600073.SH,20230119,8.0,8.07,7.94,8.2,53.6974,0.0,0,-1,,0,0,0,0,2.6599999996833503,224121.0,0,0.0,False,0,False
600073.SH,20230120,7.98,8.04,7.97,8.2,51.584,-0.0394,0,-1,,0,0,0,0,2.6599999996833503,224121.0,0,0.0,False,0,False
600073.SH,20230130,7.98,8.06,7.96,8.2,51.584,0.0,0,-1,,0,0,0,0,2.6599999996833503,224121.0,0,0.0,False,0,False
600073.SH,20230131,8.13,8.19,8.03,8.2,66.0251,0.28,0,-1,,0,0,0,0,2.6599999996833503,224121.0,0,0.0,False,0,False
600073.SH,20230201,8.14,8.15,8.05,8.14,66.8169,0.012,2,-1,20230201,1,0,0,0,0.0,448242.0,0,1824342.2800000005,False,0,False
600073.SH,20230202,8.24,8.28,8.11,8.24,74.069,0.1085,0,-1,20230201,1,0,0,0,0.0,448242.0,0,0.0,False,0,False
600073.SH,20230203,8.17,8.22,8.12,8.24,62.5805,-0.1551,0,-1,20230201,1,0,0,0,0.0,448242.0,0,0.0,False,0,False
600073.SH,20230206,8.42,8.44,8.17,8.42,77.5223,0.2388,0,-1,20230201,1,0,1,1,0.0,448242.0,0,0.0,False,0,False
600073.SH,20230207,8.36,8.46,8.32,8.42,69.5267,-0.1031,0,-1,,0,0,0,2,0.0,448242.0,0,0.0,False,0,False
600073.SH,20230208,8.3,8.39,8.23,8.42,61.8694,-0.1101,0,-1,,0,0,0,3,0.0,448242.0,0,0.0,False,0,False
600073.SH,20230209,8.36,8.42,8.25,8.36,66.3205,0.0719,2,-1,20230209,1,0,0,0,0.0,896484.0,0,3747303.12,False,0,False
600073.SH,20230210,8.5,8.52,8.3,8.5,74.6171,0.1251,0,-1,20230209,1,0,0,0,0.0,896484.0,0,0.0,False,0,False
